省份,城市,City,普通高中_全市,普通高中_市辖区,初中阶段_全市,初中阶段_市辖区
北京市,北京市,Beijing,22,22,37,37
天津市,天津市,Tianjin,22,22,38,38
河北省,  石家庄市, Shijiazhuang,23,12,46,20
河北省,  唐山市, Tangshan,15,6,26,11
河北省,  秦皇岛市, Qinhuangdao,6,3,10,5
河北省,  邯郸市, Handan,27,10,55,20
河北省,  邢台市, Xingtai,18,6,36,10
河北省,  保定市, Baoding,30,9,49,12
河北省,  张家口市, Zhangjiakou,9,4,14,6
河北省,  承德市, Chengde,8,2,14,2
河北省,  沧州市, Cangzhou,18,2,38,4
河北省,  廊坊市, Langfang,11,2,24,5
河北省,  衡水市, Hengshui,19,9,22,7
山西省,  太原市, Taiyuan,8,7,15,12
山西省,  大同市, Datong,6,4,9,6
山西省,  阳泉市, Yangquan,2,1,4,2
山西省,  长治市, Changzhi,6,4,10,6
山西省,  晋城市, Jincheng,4,1,5,2
山西省,  朔州市, Shuozhou,5,2,7,3
山西省,  晋中市, Jinzhong,7,2,12,4
山西省,  运城市, Yuncheng,9,2,15,4
山西省,  忻州市, Xinzhou,5,2,9,3
山西省,  临汾市, Linfen,8,3,13,4
山西省,  吕梁市, Lvliang,8,1,13,3
内蒙古自治区,  呼和浩特市, Hohhot,6,4,9,7
内蒙古自治区,  包头市, Baotu,4,4,7,6
内蒙古自治区,  乌海市, Wuhai,1,1,1,1
内蒙古自治区,  赤峰市, Chifeng,8,3,12,4
内蒙古自治区,  通辽市, Tongliao,6,1,8,2
内蒙古自治区,  鄂尔多斯市, Erdos,4,2,8,3
内蒙古自治区,  呼伦贝尔市, Hulunbuir,3,1,5,"l
1"
内蒙古自治区,  巴彦淖尔市, Bayannur,2,1,3,2
内蒙古自治区,  乌兰察布市, Ulanqab,3,0,4,1
辽宁省,  沈阳市, Shenyang,12,19,,
辽宁省,  大连市, Dalian,10,8,16,13
辽宁省,  鞍山市, Anshan,4,2,7,3
辽宁省,  抚顺市, Fushun,2,2,3,2
辽宁省,  本溪市, Benxi,2,1,2,1
辽宁省,  丹东市, Dandong,3,1,4,1
辽宁省,  锦州市, Jinzhou,4,2,5,2
辽宁省,  营口市, Yingkou,3,2,5,3
辽宁省,  阜新市, Fuxin,3,1,4,1
辽宁省,  辽阳市, Liaoyang,2,1,3,2
辽宁省,  盘锦市, Panjin,2,2,4,3
